timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2024-12-07T00:00:00.000Z";"2024-12-07T23:59:59.999Z";"2024-12-07T21:10:00.000Z";"2024-12-07T03:25:00.000Z";"2781";237.0510703082;243.1240213446;234.659052513;238.5479615182;4003422914.32;113550426609.2;"2024-12-07T23:59:59.999Z"
"2024-12-06T00:00:00.000Z";"2024-12-06T23:59:59.999Z";"2024-12-06T01:32:00.000Z";"2024-12-06T13:03:00.000Z";"2781";236.5414808966;246.4186514361;231.4259602247;237.0510703082;6726557034.15;112705632125.11;"2024-12-06T23:59:59.999Z"
"2024-12-05T00:00:00.000Z";"2024-12-05T23:59:59.999Z";"2024-12-05T12:28:00.000Z";"2024-12-05T01:28:00.000Z";"2781";229.1193897301;244.6809571651;223.4605362277;233.9987003666;8820663278.76;111247373459.21;"2024-12-05T23:59:59.999Z"
"2024-12-04T00:00:00.000Z";"2024-12-04T23:59:59.999Z";"2024-12-04T05:19:00.000Z";"2024-12-04T17:19:00.000Z";"2781";234.2003156236;240.7195922402;225.2549116036;229.1192886389;6569129895.66;108913388188.85;"2024-12-04T23:59:59.999Z"
"2024-12-03T00:00:00.000Z";"2024-12-03T23:59:59.999Z";"2024-12-03T21:56:00.000Z";"2024-12-03T14:37:00.000Z";"2781";225.7685644243;239.2725157501;216.473030362;234.2003156236;8404095315.37;111302903160.88;"2024-12-03T23:59:59.999Z"
"2024-12-02T00:00:00.000Z";"2024-12-02T23:59:59.999Z";"2024-12-02T02:02:00.000Z";"2024-12-02T18:01:00.000Z";"2781";237.0654351069;237.8766105463;220.5511856224;225.7561949157;7374176294.67;107299929555.61;"2024-12-02T23:59:59.999Z"
"2024-12-01T00:00:00.000Z";"2024-12-01T23:59:59.999Z";"2024-12-01T00:37:00.000Z";"2024-12-01T03:00:00.000Z";"2781";237.743828143;239.8065745464;234.5303889278;237.0699247313;3726118865.97;112643053873.49;"2024-12-01T23:59:59.999Z"
"2024-11-30T00:00:00.000Z";"2024-11-30T23:59:59.999Z";"2024-11-30T08:40:00.000Z";"2024-11-30T23:59:00.000Z";"2781";243.5488358367;245.2368836685;237.7225353322;237.743748249;3549156564.14;112945731748.69;"2024-11-30T23:59:59.999Z"
"2024-11-29T00:00:00.000Z";"2024-11-29T23:59:59.999Z";"2024-11-29T12:11:00.000Z";"2024-11-29T01:20:00.000Z";"2781";237.7639813898;246.7762963841;236.8212414679;243.5494951774;4152396835.15;115656693234.89;"2024-11-29T23:59:59.999Z"
"2024-11-28T00:00:00.000Z";"2024-11-28T23:59:59.999Z";"2024-11-28T00:47:00.000Z";"2024-11-28T15:55:00.000Z";"2781";242.3004537327;245.2044590618;233.2028665988;237.7640140991;4047310070.21;112914824463.62;"2024-11-28T23:59:59.999Z"
"2024-11-27T00:00:00.000Z";"2024-11-27T23:59:59.999Z";"2024-11-27T23:46:00.000Z";"2024-11-27T05:23:00.000Z";"2781";230.9722099779;243.1247977144;228.130057386;242.3022187293;5381404312.15;115044588555.37;"2024-11-27T23:59:59.999Z"
"2024-11-26T00:00:00.000Z";"2024-11-26T23:59:59.999Z";"2024-11-26T06:31:00.000Z";"2024-11-26T11:33:00.000Z";"2781";234.4456741102;239.6377977318;222.9572023311;230.9782013738;6996936265.12;109670601208.73;"2024-11-26T23:59:59.999Z"
"2024-11-25T00:00:00.000Z";"2024-11-25T23:59:59.999Z";"2024-11-25T09:22:00.000Z";"2024-11-25T22:40:00.000Z";"2781";252.9160620047;256.4227093523;231.5519922113;234.4466044915;6616015634.52;111295197217.74;"2024-11-25T23:59:59.999Z"
"2024-11-24T00:00:00.000Z";"2024-11-24T23:59:59.999Z";"2024-11-24T01:14:00.000Z";"2024-11-24T12:46:00.000Z";"2781";255.1785179074;259.625634643;243.1221669872;252.9195255835;5330146683.32;120055808396.61;"2024-11-24T23:59:59.999Z"
"2024-11-23T00:00:00.000Z";"2024-11-23T23:59:59.999Z";"2024-11-23T04:43:00.000Z";"2024-11-23T20:31:00.000Z";"2781";256.51816209;263.8315458431;253.1874316959;255.1785179074;6234742857.66;121118167396.94;"2024-11-23T23:59:59.999Z"
"2024-11-22T00:00:00.000Z";"2024-11-22T23:59:59.999Z";"2024-11-22T03:29:00.000Z";"2024-11-22T18:55:00.000Z";"2781";257.081420407;263.7008740112;252.1354165248;256.5186638675;7249493782.5;121762443512.96;"2024-11-22T23:59:59.999Z"
"2024-11-21T00:00:00.000Z";"2024-11-21T23:59:59.999Z";"2024-11-21T19:16:00.000Z";"2024-11-21T02:44:00.000Z";"2781";235.4274056553;259.0535598275;230.3415731162;257.0658785958;10735314059.65;122006531826.7;"2024-11-21T23:59:59.999Z"
"2024-11-20T00:00:00.000Z";"2024-11-20T23:59:59.999Z";"2024-11-20T14:12:00.000Z";"2024-11-20T03:37:00.000Z";"2781";238.0925807662;242.1078819154;230.9105599864;235.4236566698;6454141445;111737157015.35;"2024-11-20T23:59:59.999Z"
"2024-11-19T00:00:00.000Z";"2024-11-19T23:59:59.999Z";"2024-11-19T12:08:00.000Z";"2024-11-19T22:34:00.000Z";"2781";239.8008905753;247.0905667634;234.1530641274;238.0975461465;6711919414.19;113014230322.24;"2024-11-19T23:59:59.999Z"
"2024-11-18T00:00:00.000Z";"2024-11-18T23:59:59.999Z";"2024-11-18T10:56:00.000Z";"2024-11-18T00:56:00.000Z";"2781";237.575528406;248.1928162967;234.4010480194;239.7942522866;8798714212.77;113803587781.25;"2024-11-18T23:59:59.999Z"
"2024-11-17T00:00:00.000Z";"2024-11-17T23:59:59.999Z";"2024-11-17T08:44:00.000Z";"2024-11-17T02:17:00.000Z";"2781";215.8477960379;241.235331619;212.7281694523;237.575528406;9981076721.73;112756377394.86;"2024-11-17T23:59:59.999Z"
"2024-11-16T00:00:00.000Z";"2024-11-16T23:59:59.999Z";"2024-11-16T05:37:00.000Z";"2024-11-16T16:09:00.000Z";"2781";218.5693711238;221.6623697385;213.8047717375;215.8488273288;4698955745.43;101875891973.71;"2024-11-16T23:59:59.999Z"
"2024-11-15T00:00:00.000Z";"2024-11-15T23:59:59.999Z";"2024-11-15T22:43:00.000Z";"2024-11-15T04:52:00.000Z";"2781";209.2362381869;219.538787122;204.8280183053;218.0949027165;6109860311.08;102956175562.37;"2024-11-15T23:59:59.999Z"
"2024-11-14T00:00:00.000Z";"2024-11-14T23:59:59.999Z";"2024-11-14T09:28:00.000Z";"2024-11-14T23:43:00.000Z";"2781";215.1844706781;222.6391491202;207.4968042688;209.219074833;8094554275.15;98747160475.69;"2024-11-14T23:59:59.999Z"
"2024-11-13T00:00:00.000Z";"2024-11-13T23:59:59.999Z";"2024-11-13T17:18:00.000Z";"2024-11-13T04:53:00.000Z";"2781";212.2080149942;220.3391885387;201.4705777386;215.1845608449;11296665807.73;101568612058.37;"2024-11-13T23:59:59.999Z"
"2024-11-12T00:00:00.000Z";"2024-11-12T23:59:59.999Z";"2024-11-12T09:03:00.000Z";"2024-11-12T13:54:00.000Z";"2781";222.6416730626;225.0115247926;205.4478575114;212.2318090899;11308516682.3;100142981142.99;"2024-11-12T23:59:59.999Z"
"2024-11-11T00:00:00.000Z";"2024-11-11T23:59:59.999Z";"2024-11-11T23:26:00.000Z";"2024-11-11T05:41:00.000Z";"2781";210.6137295645;223.2198010881;204.562297764;222.6416730626;10290809023.46;105070241080.14;"2024-11-11T23:59:59.999Z"
"2024-11-10T00:00:00.000Z";"2024-11-10T23:59:59.999Z";"2024-11-10T17:56:00.000Z";"2024-11-10T00:12:00.000Z";"2781";200.195955438;215.1790784919;198.9831014972;210.6137295645;8564655764.61;99334998768.58;"2024-11-10T23:59:59.999Z"
"2024-11-09T00:00:00.000Z";"2024-11-09T23:59:59.999Z";"2024-11-09T11:00:00.000Z";"2024-11-09T17:18:00.000Z";"2781";199.9396102038;203.3472921392;195.4741099969;200.1949112267;3363617004.23;94424338652.73;"2024-11-09T23:59:59.999Z"
"2024-11-08T00:00:00.000Z";"2024-11-08T23:59:59.999Z";"2024-11-08T14:10:00.000Z";"2024-11-08T03:01:00.000Z";"2781";196.3345906859;204.9697585053;196.023737314;199.9390103901;5673142494.96;94306649563.89;"2024-11-08T23:59:59.999Z"
"2024-11-07T00:00:00.000Z";"2024-11-07T23:59:59.999Z";"2024-11-07T21:10:00.000Z";"2024-11-07T12:01:00.000Z";"2781";186.954788082;197.9009408375;186.1360475607;196.3345906859;4700842779.96;92585086179.01;"2024-11-07T23:59:59.999Z"
"2024-11-06T00:00:00.000Z";"2024-11-06T23:59:59.999Z";"2024-11-06T22:43:00.000Z";"2024-11-06T00:11:00.000Z";"2781";166.7224014224;189.9154849833;166.6982483889;186.954788082;9822932731.03;88058563960.61;"2024-11-06T23:59:59.999Z"
"2024-11-05T00:00:00.000Z";"2024-11-05T23:59:59.999Z";"2024-11-05T17:09:00.000Z";"2024-11-05T01:38:00.000Z";"2781";157.7471053445;169.1266523759;156.9881950906;166.7224014224;3243848057.37;78511122753.24;"2024-11-05T23:59:59.999Z"
"2024-11-04T00:00:00.000Z";"2024-11-04T23:59:59.999Z";"2024-11-04T03:04:00.000Z";"2024-11-04T21:59:00.000Z";"2781";162.551697336;164.7139042535;155.1655239191;157.7471053445;2809006699.93;74286136208.33;"2024-11-04T23:59:59.999Z"
"2024-11-03T00:00:00.000Z";"2024-11-03T23:59:59.999Z";"2024-11-03T00:33:00.000Z";"2024-11-03T15:14:00.000Z";"2781";166.0103487579;166.3763344583;158.1367705351;162.551297336;2645801645.75;76531617920.46;"2024-11-03T23:59:59.999Z"
"2024-11-02T00:00:00.000Z";"2024-11-02T23:59:59.999Z";"2024-11-02T02:31:00.000Z";"2024-11-02T15:13:00.000Z";"2781";166.2621267472;168.4605765161;162.3870199697;166.0103487579;1618170398.47;78161516157.4;"2024-11-02T23:59:59.999Z"
"2024-11-01T00:00:00.000Z";"2024-11-01T23:59:59.999Z";"2024-11-01T14:22:00.000Z";"2024-11-01T16:02:00.000Z";"2781";168.430223231;173.850024498;164.0325530266;166.2621267472;3157093059.71;78282380191.8;"2024-11-01T23:59:59.999Z"
"2024-10-31T00:00:00.000Z";"2024-10-31T23:59:59.999Z";"2024-10-31T02:38:00.000Z";"2024-10-31T22:27:00.000Z";"2781";174.9250832517;176.2798501385;167.5767892017;168.4299949144;2652620405.81;79226864991.17;"2024-10-31T23:59:59.999Z"
"2024-10-30T00:00:00.000Z";"2024-10-30T23:59:59.999Z";"2024-10-30T05:14:00.000Z";"2024-10-30T20:13:00.000Z";"2781";179.3607483503;181.1526673634;173.3993951432;174.9249779885;2772422772.99;82280136099.12;"2024-10-30T23:59:59.999Z"
