timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2024-12-07T00:00:00.000Z";"2024-12-07T23:59:59.999Z";"2024-12-07T15:01:00.000Z";"2024-12-07T01:40:00.000Z";"2781";198.9400120982;203.5020096048;193.9694427052;200.7586534942;84801723.3;3703343501.6;"2024-12-07T23:59:59.999Z"
"2024-12-06T00:00:00.000Z";"2024-12-06T23:59:59.999Z";"2024-12-06T17:40:00.000Z";"2024-12-06T00:01:00.000Z";"2781";193.4382667884;205.0877014795;193.4094067969;198.9400120982;97424436.82;3669795489.2;"2024-12-06T23:59:59.999Z"
"2024-12-05T00:00:00.000Z";"2024-12-05T23:59:59.999Z";"2024-12-05T12:43:00.000Z";"2024-12-05T01:37:00.000Z";"2781";197.0666054871;211.7285362622;185.0896746491;192.5949252575;170085888.55;3552749296.12;"2024-12-05T23:59:59.999Z"
"2024-12-04T00:00:00.000Z";"2024-12-04T23:59:59.999Z";"2024-12-04T00:31:00.000Z";"2024-12-04T20:59:00.000Z";"2781";202.2680216683;212.413643684;188.083402984;197.0666054871;205188232.3;3635237236.9;"2024-12-04T23:59:59.999Z"
"2024-12-03T00:00:00.000Z";"2024-12-03T23:59:59.999Z";"2024-12-03T23:06:00.000Z";"2024-12-03T14:38:00.000Z";"2781";173.8682119667;212.1466963958;166.5587445975;202.2680216683;219495824.49;3731186430.02;"2024-12-03T23:59:59.999Z"
"2024-12-02T00:00:00.000Z";"2024-12-02T23:59:59.999Z";"2024-12-02T22:55:00.000Z";"2024-12-02T04:16:00.000Z";"2781";163.1987258271;177.6110795855;160.4421292462;173.8637954224;131663434.77;3207302408.71;"2024-12-02T23:59:59.999Z"
"2024-12-01T00:00:00.000Z";"2024-12-01T23:59:59.999Z";"2024-12-01T03:22:00.000Z";"2024-12-01T21:51:00.000Z";"2781";162.3154968195;165.0591866819;161.3411924124;163.1987258271;75180500.21;3010485128.49;"2024-12-01T23:59:59.999Z"
"2024-11-30T00:00:00.000Z";"2024-11-30T23:59:59.999Z";"2024-11-30T23:44:00.000Z";"2024-11-30T12:04:00.000Z";"2781";159.3783579144;163.70157327;158.124889165;162.3200956454;58265926.85;2994192429.03;"2024-11-30T23:59:59.999Z"
"2024-11-29T00:00:00.000Z";"2024-11-29T23:59:59.999Z";"2024-11-29T21:49:00.000Z";"2024-11-29T07:23:00.000Z";"2781";159.2712245188;160.4187324491;155.6131898907;159.3783579144;75013972.89;2940011779.34;"2024-11-29T23:59:59.999Z"
"2024-11-28T00:00:00.000Z";"2024-11-28T23:59:59.999Z";"2024-11-28T22:55:00.000Z";"2024-11-28T03:40:00.000Z";"2781";156.1065701922;160.5515802987;155.474470013;159.2676444453;65374866.84;2938035517.01;"2024-11-28T23:59:59.999Z"
"2024-11-27T00:00:00.000Z";"2024-11-27T23:59:59.999Z";"2024-11-27T00:00:00.000Z";"2024-11-27T03:23:00.000Z";"2781";161.2427150432;161.2427150432;150.0957687317;156.1065701922;88960986.95;2879657948.57;"2024-11-27T23:59:59.999Z"
"2024-11-26T00:00:00.000Z";"2024-11-26T23:59:59.999Z";"2024-11-26T23:49:00.000Z";"2024-11-26T11:45:00.000Z";"2781";156.3067492465;162.6789379346;151.503890568;161.2427150432;94589708.16;2974403098.16;"2024-11-26T23:59:59.999Z"
"2024-11-25T00:00:00.000Z";"2024-11-25T23:59:59.999Z";"2024-11-25T14:13:00.000Z";"2024-11-25T22:40:00.000Z";"2781";161.9570413459;166.3345982467;155.7774160334;156.3067492465;81653575.13;2883350600.35;"2024-11-25T23:59:59.999Z"
"2024-11-24T00:00:00.000Z";"2024-11-24T23:59:59.999Z";"2024-11-24T04:15:00.000Z";"2024-11-24T14:53:00.000Z";"2781";161.3952308645;166.3802269269;157.8979033597;161.9570413459;62502154.56;2986366842.19;"2024-11-24T23:59:59.999Z"
"2024-11-23T00:00:00.000Z";"2024-11-23T23:59:59.999Z";"2024-11-23T07:14:00.000Z";"2024-11-23T17:10:00.000Z";"2781";162.3520884864;165.0937420325;159.4340506262;161.3952308645;73137282.1;2977216518.48;"2024-11-23T23:59:59.999Z"
"2024-11-22T00:00:00.000Z";"2024-11-22T23:59:59.999Z";"2024-11-22T23:58:00.000Z";"2024-11-22T19:43:00.000Z";"2781";160.7393924737;162.3599476072;157.1912523355;162.3533302386;66206915.52;2994867426.15;"2024-11-22T23:59:59.999Z"
"2024-11-21T00:00:00.000Z";"2024-11-21T23:59:59.999Z";"2024-11-21T05:21:00.000Z";"2024-11-21T02:43:00.000Z";"2781";160.2200738852;163.8593403433;159.331595268;160.7032982052;79610784.56;2965118435.53;"2024-11-21T23:59:59.999Z"
